Unit,Unit Type,SqFt,Renewal/Trade Out ,Lease Start Dates,Market Rent at Lease Execution,Prior Rent LER,New LER,Prior Rent LER SqFt,$/mo,Renewed LER SqFt,$ psf/mo,
1206,A1FC0E71,870,New,6/18/2021,"$1,894.00","$1,600.00","$1,600.00", $1.84 , $-   , $1.84 , $-   ,
1317,A1GC0E71,1137,New,6/18/2021,"$2,007.00",$837.50,$837.50, $0.74 , $-   , $0.74 , $-   ,
1001,B2AC0E71,1041,New,6/18/2021,"$2,091.00","$1,912.00","$1,912.00", $1.84 , $-   , $1.84 , $-   ,
1007,A1AC0E71,732,New,6/18/2021,"$1,792.00","$1,460.00","$1,460.00", $1.99 , $-   , $1.99 , $-   ,
1405,A1BC0E71,746,New,6/18/2021,"$1,780.00","$1,450.00","$1,450.00", $1.94 , $-   , $1.94 , $-   ,
1407,A1AC0E71,732,New,6/18/2021,"$1,792.00","$1,460.00","$1,460.00", $1.99 , $-   , $1.99 , $-   ,
1104,A1EC0E71,858,New,6/18/2021,"$1,882.00","$1,575.00","$1,575.00", $1.84 , $-   , $1.84 , $-   ,
1309,A1BC0E71,746,New,6/18/2021,"$1,780.00","$1,525.00","$1,525.00", $2.04 , $-   , $2.04 , $-   ,
1406,A1FC0E71,870,New,6/18/2021,"$1,894.00","$1,600.00","$1,600.00", $1.84 , $-   , $1.84 , $-   ,
1524,B2IC0E71,1207,New,6/18/2021,"$2,372.00","$2,100.00","$2,100.00", $1.74 , $-   , $1.74 , $-   ,
1523,B2BC0E71,1087,New,6/18/2021,"$2,207.00","$1,965.00","$1,965.00", $1.81 , $-   , $1.81 , $-   ,
1109,A1BC0E71,746,New,6/18/2021,"$1,780.00","$1,500.00","$1,500.00", $2.01 , $-   , $2.01 , $-   ,
1205,A1BC0E71,746,New,6/18/2021,"$1,780.00","$1,350.00","$1,350.00", $1.81 , $-   , $1.81 , $-   ,
1318,B2JC0E71,1479,New,6/18/2021,"$2,612.00","$2,285.00","$2,285.00", $1.54 , $-   , $1.54 , $-   ,
1103,A1BC0E71,746,New,6/18/2021,"$1,780.00","$1,450.00","$1,450.00", $1.94 , $-   , $1.94 , $-   ,
1417,A1GC0E71,1137,New,6/18/2021,"$2,007.00","$1,675.00","$1,675.00", $1.47 , $-   , $1.47 , $-   ,
1515,A1CC0E71,815,New,6/18/2021,"$1,832.00","$1,500.00","$1,500.00", $1.84 , $-   , $1.84 , $-   ,
1005,A1BC0E71,746,New,6/18/2021,"$1,730.00","$1,525.00","$1,525.00", $2.04 , $-   , $2.04 , $-   ,
1402,B2AC0E71,1041,New,6/19/2021,"$2,091.00","$1,912.00","$1,912.00", $1.84 , $-   , $1.84 , $-   ,
1203,A1BC0E71,746,New,6/19/2021,"$1,780.00","$1,450.00","$1,450.00", $1.94 , $-   , $1.94 , $-   ,
1221,A1FC0E71,870,New,6/19/2021,"$1,934.00","$1,620.00","$1,620.00", $1.86 , $-   , $1.86 , $-   ,
1409,A1BC0E71,746,New,6/19/2021,"$1,780.00","$1,450.00","$1,450.00", $1.94 , $-   , $1.94 , $-   ,
1106,A1CC0E71,815,New,6/20/2021,"$1,792.00","$1,670.00","$1,670.00", $2.05 , $-   , $2.05 , $-   ,
1207,A1AC0E71,732,New,6/20/2021,"$1,842.00","$1,410.00","$1,410.00", $1.93 , $-   , $1.93 , $-   ,
1209,A1BC0E71,746,New,6/21/2021,"$1,780.00","$1,400.00","$1,400.00", $1.88 , $-   , $1.88 , $-   ,
1424,B2IC0E71,1207,New,6/21/2021,"$2,322.00","$2,100.00","$2,100.00", $1.74 , $-   , $1.74 , $-   ,
1408,B2BC0E71,1087,New,6/21/2021,"$2,117.00","$1,960.00","$1,960.00", $1.80 , $-   , $1.80 , $-   ,
1208,B2BC0E71,1087,New,6/23/2021,"$2,167.00","$1,960.00","$1,960.00", $1.80 , $-   , $1.80 , $-   ,
1222,A1BC0E71,746,New,6/24/2021,"$1,800.00","$1,670.00","$1,670.00", $2.24 , $-   , $2.24 , $-   ,
1513,B2FC0E71,1137,New,6/25/2021,"$2,247.00","$2,020.00","$2,020.00", $1.78 , $-   , $1.78 , $-   ,
1311,A1BC0E71,746,New,6/25/2021,"$1,730.00","$1,450.00","$1,450.00", $1.94 , $-   , $1.94 , $-   ,
1526,B2AC0E71,1041,New,6/26/2021,"$2,091.00","$1,912.00","$1,912.00", $1.84 , $-   , $1.84 , $-   ,
1323,B2BC0E71,1087,New,6/26/2021,"$2,207.00","$1,965.00","$1,965.00", $1.81 , $-   , $1.81 , $-   ,
1315,A1CC0E71,815,New,6/26/2021,"$1,832.00","$1,555.00","$1,555.00", $1.91 , $-   , $1.91 , $-   ,
1425,B2AC0E71,1041,New,6/27/2021,"$2,131.00","$1,912.00","$1,912.00", $1.84 , $-   , $1.84 , $-   ,
1307,A1AC0E71,732,New,6/28/2021,"$1,842.00","$1,460.00","$1,460.00", $1.99 , $-   , $1.99 , $-   ,
1518,B2JC0E71,1479,New,6/28/2021,"$2,612.00","$2,285.00","$2,285.00", $1.54 , $-   , $1.54 , $-   ,
1306,A1FC0E71,870,New,6/29/2021,"$1,894.00","$1,600.00","$1,600.00", $1.84 , $-   , $1.84 , $-   ,
1102,B2AC0E71,1041,New,6/30/2021,"$2,041.00","$1,972.00","$1,972.00", $1.89 , $-   , $1.89 , $-   ,
1201,B2AC0E71,1041,New,6/30/2021,"$2,041.00","$1,947.00","$1,947.00", $1.87 , $-   , $1.87 , $-   ,
1310,B2BC0E71,1087,New,7/1/2021,"$2,167.00","$1,925.00","$1,925.00", $1.77 , $-   , $1.77 , $-   ,
1403,A1BC0E71,746,New,7/1/2021,"$1,780.00","$1,450.00","$1,450.00", $1.94 , $-   , $1.94 , $-   ,
1416,B2HC0E71,1201,New,7/1/2021,"$2,467.00","$2,180.00","$2,180.00", $1.82 , $-   , $1.82 , $-   ,
1423,B2BC0E71,1087,New,7/1/2021,"$2,157.00","$1,965.00","$1,965.00", $1.81 , $-   , $1.81 , $-   ,
1108,B2BC0E71,1087,New,7/1/2021,"$2,117.00","$1,985.00","$1,985.00", $1.83 , $-   , $1.83 , $-   ,
1322,B2DC0E71,1109,New,7/1/2021,"$2,197.00","$1,950.00","$1,950.00", $1.76 , $-   , $1.76 , $-   ,
1517,A1GC0E71,1137,New,7/1/2021,"$2,007.00","$1,675.00","$1,675.00", $1.47 , $-   , $1.47 , $-   ,
1413,B2FC0E71,1137,New,7/2/2021,"$2,247.00","$2,055.00","$2,055.00", $1.81 , $-   , $1.81 , $-   ,
