,,Traffic and Sales,,,,,,,Occupied,,,,,Vacant,,,,On-Notice,,,Occupied/Notices,,,%,,,,Rented,,,
"Week
Ending",Total Units,Traffic,Walk-in,Apps,Cancel,Deny,Net Leases,Closing Ratio %,Beg Occ #,Move Ins,Move Outs,Transfers,End Occ #,Model Unit,Rented,Unrented,Total,Rented,Unrented,Total Notice,1 BR,2 BR,3 BR,Occ,Leased,Avail,Avg Mkt Rent,Gross Market Rent,Gross Rent PSF,Effective Rent,Effective Rent PSF
11/28/21,200,0,0,1,0,0,1,100%,156,0,0,0,156,2,1,43,46,0,0,0,24,19,N/A,77.0%,78.5%,43%,"2,056","411,173",2.11,"384,158",1.97
12/05/21,200,4,4,1,0,0,0,25%,156,1,0,0,157,2,1,42,45,0,0,0,24,18,N/A,78.50%,79.00%,21.00%,"2,056","411,173",2.11,"384,158",1.97
12/12/21,200,5,5,2,0,0,2,15%,157,0,0,0,157,2,2,40,44,0,0,0,24,16,N/A,78.50%,79.50%,20.00%,"2,056","411,173",2.11,"384,158",1.97
12/20/21,200,3,3,1,1,0,0,0%,157,0,0,0,157,2,3,40,45,0,3,3,23,17,N/A,78.50%,80.00%,21.50%,"2,056","411,173",2.11,"384,158",1.97
12/26/2021,200,2,2,0,1,0,0,0%,157,0,0,0,157,2,3,40,45,0,3,3,23,20,N/A,78.50%,80.00%,21.50%,"2,056","411,173",2.11,"384,642",1.97
1/3/2022,200,0,0,2,0,0,2,100%,157,0,0,0,157,2,5,38,45,0,4,4,22,16,N/A,78.50%,81.00%,21.00%,"2,056","411,173",2.11,"384,642",1.97
1/18/2022,200,8,8,1,2,2,-3,3%,157,1,0,0,158,2,1,41,44,1,0,1,25,18,N/A,79.00%,79.50%,20.50%,"2,056","411,173",2.11,"384,642",1.97
1/24/2022,200,7,7,0,1,0,-1,0%,158,1,2,0,157,2,1,43,46,0,4,4,24,17,N/A,78.50%,79.00%,23.50%,"2,056","411,173",2.11,"384,792",1.97
1/31/2022,200,5,5,0,1,0,-1,0%,157,0,1,0,156,2,1,45,48,0,5,5,26,22,N/A,78.00%,78.50%,25.00%,"2,056","411,173",2.11,"384,792",1.97
2/7/2022,200,3,3,3,0,0,3,100%,156,0,2,0,154,2,3,40,45,0,3,3,26,19,N/A,77.00%,78.50%,21.50%,"2,056","411,173",2.11,"385,137",1.97
2/14/2022,200,5,5,0,0,0,0,0%,154,0,0,0,154,2,3,40,45,0,4,4,26,19,N/A,77.00%,78.50%,22.00%,"2,056","411,173",2.11,"385,137",1.97
2/21/2022,200,3,3,0,0,0,0,0%,154,2,0,0,156,2,1,40,43,0,4,4,25,18,N/A,78.00%,78.50%,22.00%,"2,056","411,173",2.11,"385,137",1.97
2/28/2022,200,3,3,1,0,0,1,33%,156,1,0,0,157,2,1,39,42,1,4,5,25,17,N/A,78.50%,79.00%,21.50%,"2,056","411,173",2.11,"386,222",1.98
3/14/2022,200,4,4,2,0,0,2,50%,157,2,2,0,157,2,1,39,42,0,4,4,23,19,N/A,78.50%,79.00%,21.50%,"2,056","411,173",2.11,"386,223",1.98
3/21/2022,200,3,3,1,1,0,0,0%,157,0,0,2,157,2,2,40,44,1,6,7,24,22,N/A,78.50%,79.50%,23.00%,"2,056","411,173",2.11,"386,538",1.98
3/29/2022,200,5,5,1,0,0,1,20%,157,1,1,0,157,2,2,40,44,1,6,7,26,22,N/A,78.50%,79.50%,23.00%,"2,056","411,173",2.11,"386,132",1.98
4/5/2022,200,5,5,0,0,0,0,0%,157,0,4,0,153,2,1,45,48,0,9,9,28,26,N/A,76.50%,77.00%,27.00%,"2,056","411,173",2.11,"386,734",1.98
4/12/2022,200,7,7,1,0,0,1,14%,153,1,1,0,153,2,0,46,48,1,8,9,27,27,N/A,76.50%,76.50%,27.00%,"2,056","411,173",2.11,"386,684",1.98
4/19/2022,200,6,6,1,0,0,1,17%,153,0,1,0,152,2,0,47,49,2,6,8,27,26,N/A,76.00%,76.00%,26.50%,"2,056","411,173",2.11,"387,261",1.98
4/26/2022,200,8,8,1,0,0,1,13%,152,0,1,0,151,2,1,47,50,1,6,7,27,26,N/A,75.50%,76.00%,26.50%,"2,056","411,173",2.11,"387,261",1.98
5/3/2022,200,5,5,0,0,0,0,0%,151,1,2,0,150,2,1,48,51,0,9,9,27,30,N/A,75.00%,75.50%,28.50%,"2,056","411,173",2.11,"387,546",1.98
5/10/2022,200,2,2,0,0,0,0,0%,150,0,1,1,149,2,2,48,52,0,9,9,27,30,N/A,74.50%,75.50%,28.50%,"2,056","411,173",2.11,"396,738",1.98
5/17/2022,200,12,12,3,0,0,3,25%,149,1,0,0,150,2,4,45,51,0,10,10,27,30,N/A,75.00%,77.00%,27.50%,"2,056","411,173",2.11,"392,964",1.98
5/31/2022,200,12,12,8,2,0,6,50%,150,2,3,0,149,2,6,44,52,4,11,15,30,30,N/A,74.50%,77.50%,27.50%,"1,984","396,738",2.02,"392,964",1.93
6/6/2022,200,8,8,5,0,1,4,50%,149,5,1,0,153,2,5,41,48,4,9,13,58,49,N/A,76.50%,79.00%,25.00%,"1,984","396,738",2.02,"377,840",1.93
6/13/2022,200,13,13,5,0,2,3,23%,153,2,1,1,154,2,7,38,47,4,11,15,57,81,N/A,77.00%,80.50%,24.50%,"1,999","398,138",2.04,"377,482",1.97
6/20/2022,200,12,12,7,1,1,5,42%,154,4,1,1,157,2,6,36,44,6,10,16,59,81,N/A,78.50%,81.50%,23.00%,"2,012","402,488",2.10,"386,981",1.98
