[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
0 FORT ST NE,0 FORT ST NE,Atlanta,,102,
0 GODBY RD # PH II,0 GODBY RD # PH II,Atlanta,,208,
0 HUNNICUTT ST NW,0 HUNNICUTT ST NW,Atlanta,,217,
0 JETT ST NW,0 JETT ST NW,Atlanta,,100,
0 JOHN WESLEY DOBBS,0 JOHN WESLEY DOBBS,Atlanta,,350,
0 MEDLOCK BRIDGE RD REAR,0 MEDLOCK BRIDGE RD REAR,Atlanta,,124,
0 MORRIS RD,0 MORRIS RD,Atlanta,,142,
0 MOURY ST SE,0 MOURY ST SE,Atlanta,,220,
0 PINE ST NW,0 PINE ST NW,Atlanta,,166,
0 PRYOR RD SW,0 PRYOR RD SW,Atlanta,,216,
0 THIRKIELD AVE SE,0 THIRKIELD AVE SE,Atlanta,,165,
0 THOMPSON RD,0 THOMPSON RD,Atlanta,,292,
1 HARTSFIELD CENTER PKWY SW,1 HARTSFIELD CENTER PKWY SW,Atlanta,,387,
10 JESSE HILL JR DR NE,10 JESSE HILL JR DR NE,Atlanta,,440,
100 CHATTAHOOCHEE CIR,100 CHATTAHOOCHEE CIR,Atlanta,,402,
100 FULTON ST SE,100 FULTON ST SE,Atlanta,,276,
100 GREYFIELD LN,100 GREYFIELD LN,Atlanta,,219,
100 HEMINGWAY LN # REAR,100 HEMINGWAY LN # REAR,Atlanta,,692,
100 HIGHLAND PARK TRL,100 HIGHLAND PARK TRL,Atlanta,,188,
100 LEGACY OAK CIR,100 LEGACY OAK CIR,Atlanta,,270,
100 OLD HOLCOMB BRDG RD,100 OLD HOLCOMB BRDG RD,Atlanta,,268,
100 PEYTON PL SW,100 PEYTON PL SW,Atlanta,,230,
100 PRESTON WOODS TRL,100 PRESTON WOODS TRL,Atlanta,,213,
100 SARATOGA DR,100 SARATOGA DR,Atlanta,,284,
100 SIXTH ST,100 SIXTH ST,Atlanta,,320,
100 TENTH ST NW,100 TENTH ST NW,Atlanta,,118,
1000 APPLEWOOD DR,1000 APPLEWOOD DR,Atlanta,,280,
1000 FANFARE WAY,1000 FANFARE WAY,Atlanta,,210,
