ParcelId,Address,City,State,ZIP,County,MSA,Submarket,YearBuilt,YearRenovated,AssetClass,Stories,ConstructionType,PropertyType,UnitCount,AvgUnitSqft,NetRentableSqft,ParkingType,ParkingRatio,LotSizeAcres,ManagementCompany,Notes,DataConfidence,SourceFiles
100 Inverness,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,2900,,,,,2019,,,Garage,,,Fe,,medium,100 Inverness RR 06.26.2019 modified.xls; 100 Inverness RR 06.26.2019.xls; 100 Inverness T12 05.2019.xls; MAG Bama.pdf
1420 Magnolia,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Mixed,,,180,180,Garage,,8.38,Compa,,medium,1420 Magnolia - Charlotte - Teaser .xlsx; 1420 Magnolia - Rent Roll (2018.02.02) techno.xls; 1420 Magnolia - Rent Roll (2018.02.02).xlsx; 1420 Magnolia - Rent Roll (2018.02.22) latest.xls; 1420 Magnolia - Rent Roll (2018.02.22).xlsx
33 West,,Atlanta,GA,FL,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,160,160,GARAGE,,,,,medium,33 West 01a - Offering Memorandum.pdf; 33 WEST 02a - Rent Roll 4-19-22.xls; 33 WEST 02b - Rent Roll 5-5-22.xls; 33 WEST 02c - Rent Roll 5-18-22 Techno.xls; 33 WEST 02c - Rent Roll 5-18-22.xls
45 Eighty Dunwoody,,Dunwoody,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,Garage,,,Fe,,medium,12_Month_Statement_4580_Cash.xlsx; Copy of 12_Month_Statement_4580 - modified .xls; Historical_20190701115718 - 45 eighty.xls; Rent Roll (3) - 45 eighty .xls; Rent Roll (3).xlsx
464 Bishop - ATL,,,,,,,,,,,,,,,,,,,,,,none,
72 West,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,CONCRETE,,,511,511,,,,FE,,medium,72 West T12 - 5.31.2019.xlsx; Copy of 72 West T12 - 5.31.2019.xls; Historical_20190627135129 - 72 West .xls; STW capitals from 2016 - present.xlsx; STW UNIT UPGRADES - modified .xls
7900 Park Central,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,2020,,,Garage,,,For,,medium,12_Month_Statement_4032_Cash - techno.xls; 12_Month_Statement_4032_Cash.xlsx; 7900 - Rent Roll 3.9.2020 - techno.xls; 7900 - Rent Roll 3.9.2020.xlsx; 7900 at Park Central - Debt Summary.xlsx
841 Memorial,,,,,,,,,,,,,,,,,,,,,,none,
860 South,,Marietta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,290,,,GARAGE,,,EXPENS,,medium,860South_OS_T12_06.2019.xlsx; 860South_OS_T12_07.2019 - techno.xls; 860South_OS_T12_07.2019.xlsx; 860South_OS_YE_2017.xlsx; 860South_OS_YE_2018.xlsx
900 Dwell,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,GARAGE,,,EXPENS,,medium,900Dwell_OS_T12_06.2019.xlsx; 900Dwell_OS_T12_07.2019 - techno.xls; 900Dwell_OS_T12_07.2019.xlsx; 900Dwell_OS_YE_2017.xlsx; 900Dwell_OS_YE_2018.xlsx
Accent 2050,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Concrete,,,673,673,,,,,,medium,Accent 2050 - Boxscore (2020.03.20).pdf; Accent 2050 - CushWake Executive Summary (2020.04.06).pdf; Accent 2050 - Existing Debt Information.pdf; Accent 2050 - Final Tax Bill (2019).pdf; Accent 2050 - Rent Roll w Detail (2020.04.16).xls
Addison on Long Beach,,Long Beach,CA,,,"Los Angeles-Long Beach-Anaheim, CA",,2022,,,,,,,175,175,GARAGE,,,Compa,,medium,ALB -  Rentable Items 5-31-21.pdf; ALB - Lease Tradeout Report 4-1-21 to 6-9-21.xlsx; ALB - MAY 2021 T-12.xlsx; ALB - Rent Roll Detail 5-31-21.xls; JBM - The Addison on Long Bayou OM.pdf
Advenir at Prestonwood,,,,,,,,,,,,,,2019,954,954,,,,Fe,,low,Advenir_OM_Final.pdf; Historical_20190716154124 - restonwood .xls; PST IS - 2019.05 T12 - Techno.xls; PST IS - 2019.05 T12.xlsx; PST RE TAXES 2018.pdf
Alexan Avondale,,,,,,,,,,,,,,,,,,,,,,none,Alexan Avondale  Other Income - techno.xls; Alexan Avondale.xlsx
Alpharetta City Center,,,,,,,,,,,,,,,,,,,,,,none,
